web3 fundraising in 2025 Data,,,,,,,,,,,,
Monthly Crypto Fundraising – 2025,,,,,,,,,,,,
Month (2025),Funds Raised (USD Bn),Number of Funding Rounds,,,,,,,,,,
Jan,1.24B,157,,,,,,,,,,
Feb,1.11B,146,,,,,,,,,,
Mar,5.79B,144,,,,,,,,,,
Apr,2.29B,94,,,,,,,,,,
May,1.89B,114,,,,,,,,,,
Jun,4.82B,120,,,,,,,,,,
Jul,4.06B,126,,,,,,,,,,
Aug,2.05B,122,,,,,,,,,,
Sep,2.61B,102,,,,,,,,,,
Oct,5.13B,132,,,,,,,,,,
Nov,2.65B,72,,,,,,,,,,
Dec,1.3B,88,,,,,,,,,,
,,,,,,,,,,,,
Most Active Crypto Investors (Funds) – 2025,,,,,,,,,,,,
Rank,Investor Name,Total Deals,,,,,,,,,,
1,Coinbase Ventures,84,,,,,,,,,,
2,Animoca Brands,44,,,,,,,,,,
3,Pantera Capital,37,,,,,,,,,,
4,Amber Group,37,,,,,,,,,,
5,YZi Labs (Prev. Binance Labs),37,,,,,,,,,,
6,GSR,35,,,,,,,,,,
7,Mirana Ventures,33,,,,,,,,,,
8,Selini Capital,32,,,,,,,,,,
9,Andreessen Horowitz (a16z crypto),30,,,,,,,,,,
10,Big Brain Holdings,29,,,,,,,,,,
11,Galaxy,28,,,,,,,,,,
12,a16z CSX,26,,,,,,,,,,
13,Paradigm,26,,,,,,,,,,
14,HashKey Capital,23,,,,,,,,,,
,,,,,,,,,,,,
Fundraising Rounds by Stage (2025),,,,,,,,,,,,
Stage,Number of Rounds,Percentage,,,,,,,,,,
Strategic,295,16.27%,,,,,,,,,,
Seed,284,15.66%,,,,,,,,,,
M&A,230,12.69%,,,,,,,,,,
Pre-Seed,131,7.23%,,,,,,,,,,
Series A,116,6.40%,,,,,,,,,,
Incubation,73,4.03%,,,,,,,,,,
Other,684,37.73%,,,,,, ,,,,
TOTAL,"1,813",100%,,,,,,,,,,
,,,,,,,,,,,,
Fundraising Rounds by Size (2025),,,,,,,,,,,,
Round Size,Number of Rounds,,,,,,,,,,,
< $1M,120,,,,,,,,,,,
$1–3M,215,,,,,,,,,,,
$3–10M,334,,,,,,,,,,,
$10–20M,139,,,,,,,,,,,
$20–50M,105,,,,,,,,,,,
$50M+,87,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Monthly Fundraising by Category (Rounds),,,,,,,,,,,,
Month,Blockchain Infra,Blockchain Service,DeFi,Chain,Currency,CeFi,GameFi,Meme,NFT,Social,Stablecoin,
Jan,20,58,34,9,-,9,13,5,-,9,-,
Feb,25,39,38,11,-,9,9,2,4,7,1,
Mar,17,33,36,10,-,21,8,-,2,7,-,
Apr,11,28,17,9,-,13,7,-,1,8,-,
May,13,30,24,9,-,20,11,2,1,3,-,
Jun,14,30,26,14,-,22,8,-,-,4,-,
Jul,15,42,24,6,-,23,11,-,1,2,1,
Aug,16,29,40,10,-,15,4,1,1,3,3,
Sep,9,30,25,11,-,17,5,-,1,3,1,
Oct,14,44,22,3,1,26,14,1,2,5,-,
Nov,8,21,21,4,1,11,5,-,-,1,1,
Dec,9,25,26,5,-,15,1,-,-,4,-,
,,,,,,,,,,,,
Number of Funding Rounds by Investor and Category,,,,,,,,,,,,
Investor,Blockchain Infra,Blockchain Service,DeFi,Chain,Currency,CeFi,GameFi,Meme,NFT,Social,Stablecoin,
Coinbase Ventures,7,20,23,2,-,16,2,1,1,5,1,
Animoca Brands,6,12,3,6,-,1,10,-,1,3,-,
Amber Group,10,2,14,5,-,1,3,-,-,2,-,
YZi Labs (Prev. Binance Labs),4,9,11,3,-,4,1,-,-,2,1,
GSR,3,10,12,1,-,3,2,-,-,1,-,
Mirana Ventures,5,3,11,4,-,4,4,1,-,-,-,
Selini Capital,3,3,17,3,-,1,3,1,-,-,-,
Pantera Capital,9,8,7,1,1,1,2,-,-,1,-,
Andreessen Horowitz (a16z crypto),5,11,3,4,-,5,-,-,-,2,-,
